Timestamp,Data
0,255
420717596,253
420718906,252
420720600,253
420721670,252
420721924,254
420723202,255
420724272,254
420725806,255
420726892,254
420728426,255
420729496,254
420731030,255
420732116,254
420732146,252
420733648,253
420734718,252
420736252,253
420737338,252
420738872,253
420739942,252
420740196,254
420741474,255
420742560,254
420742590,252
420742908,254
420744186,255
420745272,254
420745302,252
420746820,253
420747890,252
420748144,254
420749422,255
420750508,254
420750538,252
420752040,253
420753110,252
420753364,254
420754642,255
420755728,254
420755758,252
420757260,253
420758330,252
420758584,254
420759862,255
420760948,254
420760978,252
420762480,253
420763550,252
420763804,254
420765082,255
420766168,254
420767798,255
420768884,254
420770418,255
420771504,254
420771534,252
420773036,253
420774106,252
420774360,254
420775638,255
420776724,254
420778242,255
420779328,254
420780862,255
420781948,254
420783466,255
420784552,254
420784582,252
420786084,253
420787170,252
420787424,254
420788686,255
420789772,254
420789930,252
420791432,253
420793222,255
793588538,255
