Timestamp,Data
0,65535
63766142,65534
64065998,65535
64365788,65534
65265322,65535
65864952,65534
66464582,65535
66764276,65534
67363906,65535
67663680,65534
68263246,65535
68862780,65534
69462330,65535
69762168,65534
70061942,65535
70661588,65534
71261090,65535
71860592,65534
72459998,65535
72759804,65534
73659354,65535
73959048,65534
74258854,65535
74858500,65534
75458162,65535
75757968,65534
76057838,65535
76357548,65534
76657290,65535
76957016,65534
77256758,65535
77856244,65534
78455746,65535
78755504,65534
79355102,65535
79954732,65534
80254554,65535
80854008,65534
81453606,65535
81753460,65534
82053298,65535
82952576,65534
83252334,65535
83851948,65534
84451306,65535
84751288,65534
85497322,65534
