Timestamp,Data
0,255
32435954,254
32479168,255
32482020,254
32492236,255
32522458,254
32523000,255
32528820,254
32529376,255
32535196,254
32540596,255
32541558,254
32546972,255
32547934,254
32548476,255
32554296,254
32554852,255
32560672,254
32566086,255
32567034,254
32572448,255
32573410,254
32576038,255
32579772,254
32582400,255
32586148,254
32588776,255
32592524,254
32593066,255
32598886,254
32601514,255
32605262,254
32605804,255
32611624,254
32614252,255
32618000,254
32620628,255
32624418,254
32624960,255
32630780,254
32631336,255
32637156,254
32639784,255
32643518,254
32646160,255
32649894,254
32650450,255
32656270,254
32658898,255
32662632,254
32665260,255
32669008,254
32671636,255
32675426,254
32675968,255
32681802,254
32684430,255
32688164,254
32688720,255
32694540,254
32697168,255
32700902,254
32701458,255
32707278,254
32709906,255
32713654,254
32714196,255
32720016,254
32720572,255
32726434,254
32729062,255
32732810,254
32735438,255
32739172,254
32739728,255
32745548,254
32746104,255
32751924,254
32754552,255
32758286,254
32758842,255
32764662,254
32767290,255
32771038,254
32771580,255
32777442,254
32777998,255
32783818,254
32786446,255
32790194,254
32792822,255
32796556,254
32797112,255
32802932,254
32805560,255
32809308,254
32811936,255
32815670,254
32818298,255
32822046,254
32824674,255
32828464,254
32831092,255
32834826,254
32837454,255
32841202,254
32843830,255
32847578,254
32850206,255
32853940,254
32856568,255
32860316,254
32862944,255
32866692,254
32869320,255
32873054,254
32875682,255
32879472,254
32882100,255
32885848,254
32888476,255
32892210,254
32894838,255
32898586,254
32901214,255
32904962,254
32907590,255
32911324,254
32913952,255
32917700,254
32920328,255
32924062,254
32926690,255
32930480,254
32931036,255
32936856,254
32939484,255
32943232,254
32943774,255
32949594,254
32952222,255
32955970,254
32958598,255
32962332,254
32962888,255
32968708,254
32971336,255
32975084,254
32975626,255
33197648,254
33240862,255
33243714,254
33253944,255
33284110,254
33327324,255
33330176,254
33340406,255
33370628,254
33371184,255
33376990,254
33382404,255
33383366,254
33383922,255
33389742,254
33395142,255
33396104,254
33396660,255
33402480,254
33407880,255
33408842,254
33409398,255
33415218,254
33420632,255
33421622,254
33427036,255
33427998,254
33433412,255
33434374,254
33439774,255
33440736,254
33441292,255
33447112,254
33452512,255
33453474,254
33454030,255
33459850,254
33465250,255
33466212,254
33471626,255
33472616,254
33473172,255
33478992,254
33479548,255
33485368,254
33490768,255
33491730,254
33497144,255
33498106,254
33498648,255
33504468,254
33509882,255
33510844,254
33516244,255
33517206,254
33522620,255
33523610,254
33524166,255
33529986,254
33535400,255
33536362,254
33536904,255
33542724,254
33548138,255
33549100,254
33549642,255
33555462,254
33560876,255
33561838,254
33562380,255
33568200,254
33568756,255
33574604,254
33580018,255
33580980,254
33586394,255
33587356,254
33587898,255
33593718,254
33594274,255
33600094,254
33605494,255
33606456,254
33607012,255
33612832,254
33618232,255
33619194,254
33619750,255
33625598,254
33626154,255
33631974,254
33637388,255
33638350,254
33643750,255
33644712,254
33645268,255
33651088,254
33656488,255
33657450,254
33662864,255
33663826,254
33669226,255
33670188,254
33675602,255
33676592,254
33682006,255
33682968,254
33688382,255
33689344,254
33694744,255
33695706,254
33701120,255
33702082,254
33707482,255
33708444,254
33713858,255
33714820,254
33720220,255
33721182,254
33726596,255
33727586,254
33733000,255
33733962,254
33739376,255
33740338,254
33745738,255
33746700,254
33752114,255
33753076,254
33758476,255
33759438,254
33764852,255
33765814,254
33771214,255
33772176,254
33777590,255
33778580,254
33779136,255
33784956,254
33790370,255
33791332,254
33791874,255
33797694,254
33803108,255
33804070,254
33809470,255
33810432,254
33810988,255
33816808,254
33822208,255
33823170,254
33823726,255
33829588,254
33834988,255
33835950,254
33841364,255
33842326,254
33842868,255
33848688,254
33854102,255
33855064,254
33860478,255
33861440,254
33866840,255
33867802,254
33868358,255
33874178,254
33879578,255
101380546,254
101423760,255
101426612,254
101436842,255
101467008,254
101510222,255
101513074,254
101523304,255
101553526,254
101554068,255
101559888,254
101565302,255
101566264,254
101566806,255
101572626,254
101578040,255
101579002,254
101579558,255
101585364,254
101590778,255
101591740,254
101592296,255
101598116,254
101603516,255
101604534,254
101609948,255
101610910,254
101616310,255
101617272,254
101622686,255
101623648,254
101624190,255
101630010,254
101635424,255
101636386,254
101636928,255
101642748,254
101648162,255
101649124,254
101654538,255
101655528,254
101656084,255
101661904,254
101662446,255
101668266,254
101673680,255
101674642,254
101680042,255
101681004,254
101681560,255
101687380,254
101692794,255
101693742,254
101699156,255
101700118,254
101705532,255
101706522,254
101707078,255
101712898,254
101718298,255
101719260,254
101719816,255
101725636,254
101731036,255
101731998,254
101732554,255
101738374,254
101743788,255
101744736,254
101745292,255
101751112,254
101751668,255
101757516,254
101762930,255
101763892,254
101769292,255
101770254,254
101770810,255
101776630,254
101777172,255
101782992,254
101788406,255
101789368,254
101789910,255
101795730,254
101801144,255
101802106,254
101802662,255
101808510,254
101809066,255
101814886,254
101820286,255
101821248,254
101826662,255
101827624,254
101828166,255
101833986,254
101839400,255
101840362,254
101845776,255
101846724,254
101852138,255
101853100,254
101858514,255
101859504,254
101864918,255
101865880,254
101871280,255
101872242,254
101877656,255
101878618,254
101884018,255
101884980,254
101890394,255
101891356,254
101896770,255
101897718,254
101903132,255
101904094,254
101909508,255
101910498,254
101915912,255
101916874,254
101922274,255
101923236,254
101928650,255
101929612,254
101935012,255
101935974,254
101941388,255
101942350,254
101947764,255
101948712,254
101954126,255
101955088,254
101960502,255
101961492,254
101962048,255
101967868,254
101973268,255
101974230,254
101974786,255
101980606,254
101986006,255
101986968,254
101992382,255
101993344,254
101993886,255
101999706,254
102005120,255
102006082,254
102006638,255
102012486,254
102017900,255
102018862,254
102019418,255
102025238,254
102025780,255
102031600,254
102032156,255
102037976,254
102038518,255
102044338,254
102044894,255
102050714,254
102056114,255
102057076,254
102057632,255
102063452,254
102063994,255
102069814,254
102070370,255
102076190,254
102078818,255
102082552,254
102083108,255
102088928,254
102091556,255
102095304,254
102095846,255
102101666,254
102102222,255
102108042,254
102110670,255
102114460,254
102115016,255
102120836,254
102123464,255
102127212,254
102129840,255
102133574,254
102136202,255
102139950,254
102142578,255
102146326,254
102148954,255
102152688,254
102155316,255
102159064,254
102161692,255
102165482,254
102166024,255
102171844,254
102172400,255
102178220,254
102180848,255
102184596,254
102185138,255
102190958,254
102193586,255
102197334,254
102199962,255
102203710,254
102204252,255
102210072,254
102212700,255
102216490,254
102219118,255
102222866,254
102223408,255
102229228,254
102229784,255
102235604,254
102238232,255
102241980,254
102244608,255
102248342,254
102250970,255
102254718,254
102255260,255
102261080,254
102263708,255
102267498,254
102268054,255
102273874,254
102274430,255
102280250,254
102280792,255
102286612,254
102287168,255
102292988,254
102293530,255
102299350,254
102299906,255
102305726,254
102306282,255
102312102,254
102314730,255
102318520,254
102319062,255
102324882,254
102325438,255
102331258,254
102331800,255
102337634,254
102338176,255
102343996,254
102344552,255
102350372,254
102350914,255
102356734,254
102357290,255
102363110,254
102363666,255
102369528,254
102370070,255
102375904,254
102378532,255
102382266,254
102382822,255
102388642,254
102391270,255
102395004,254
102397632,255
102401380,254
102404008,255
102407756,254
102410384,255
102414118,254
102416746,255
102420536,254
102423164,255
102426912,254
102429540,255
102433274,254
102435902,255
102439650,254
102442278,255
102446026,254
102446568,255
102452388,254
102455016,255
102458764,254
102461392,255
102465140,254
102467768,255
102471544,254
102472100,255
102477920,254
102480548,255
102484296,254
102486924,255
102490658,254
102491214,255
102497034,254
102499662,255
102503410,254
102506038,255
102509772,254
102510328,255
102516148,254
102518776,255
486030056,255
