Timestamp,Data
0,255
56365844,254
265168112,255
265173948,254
265184424,255
268174596,254
268217888,255
268220700,254
268231144,255
268261092,254
268266576,255
268267436,254
268272936,255
268273796,254
268279280,255
268280140,254
268285640,255
268286500,254
268287136,255
268292860,254
268293496,255
268299204,254
268299840,255
268305564,254
268306200,255
268311924,254
268314640,255
268318316,254
268318952,255
268324708,254
268330208,255
268331068,254
268333784,255
268337444,254
268338080,255
268343836,254
268349336,255
268350196,254
268352896,255
268356572,254
268357208,255
268362964,254
268368448,255
268369308,254
268369944,255
268375684,254
268378400,255
268382076,254
268382712,255
268388436,254
268391136,255
268394812,254
268395448,255
268401204,254
268406688,255
268407548,254
268408184,255
268413940,254
268416640,255
268420316,254
268420968,255
268426676,254
268429392,255
268433052,254
268433688,255
268439444,254
268444944,255
268445804,254
268448504,255
268452180,254
268452816,255
268458572,254
268464056,255
268464916,254
268467632,255
268471292,254
268474008,255
268477716,254
268483200,255
268484060,254
268486776,255
268490452,254
268493088,255
268496844,254
268502344,255
268503204,254
268503840,255
268509580,254
268512280,255
268515972,254
268516608,255
268522332,254
268525032,255
268528708,254
268531360,255
268535116,254
268540600,255
268541460,254
268544176,255
268547836,254
268548472,255
268554228,254
268559728,255
268560588,254
268561224,255
268566964,254
268569664,255
268573356,254
268573992,255
268579700,254
268580336,255
268586092,254
268588792,255
268592468,254
268593120,255
268598828,254
268599464,255
268605204,254
268607904,255
268611596,254
268612232,255
268617940,254
268618576,255
268624332,254
268627032,255
268630724,254
268631360,255
268637068,254
268639768,255
268643444,254
268644080,255
268649836,254
268655336,255
268656196,254
268656832,255
268662572,254
268665272,255
268668964,254
268669600,255
268675308,254
268678008,255
268681700,254
268682320,255
268688076,254
268693576,255
268694436,254
268695072,255
268700812,254
268703512,255
268707204,254
268707840,255
268713548,254
268716264,255
268719940,254
268720576,255
268726332,254
268731816,255
268732676,254
268733312,255
268739052,254
268741752,255
268745444,254
268746080,255
268751804,254
268752440,255
268758180,254
268760880,255
268764572,254
268765208,255
268770916,254
